Sprite,X,Y,W,H,Frames,Anchor,Fps
gel_turquoise,0,14,8,9,2,center,10
gel_blue,16,14,8,9,2,center,10
gel_darkgreen,32,14,8,9,2,center,10
gel_brown,48,14,8,9,2,center,10
gel_green,0,23,8,9,2,center,10
gel_orange,16,23,8,9,2,center,10
gel_negative,32,23,8,9,2,center,10
gel_black,48,23,8,9,2,center,10
zol_turquoise,64,16,16,16,2,center,10
zol_brown,96,16,16,16,2,center,10
zol_green,128,16,16,16,2,center,10
zol_orange,64,32,16,16,2,center,10
zol_negative,96,32,16,16,2,center,10
zol_black,128,32,16,16,2,center,10
keese_blue,160,16,16,16,2,center,10
keese_red,160,32,16,16,2,center,10
goriya_red_down,192,16,16,16,2,center,10
goriya_red_up,224,16,16,16,2,center,10
goriya_red_right,256,16,16,16,2,center,10
goriya_red_left,288,16,16,16,2,center,10
goriya_blue_down,192,32,16,16,2,center,10
goriya_blue_up,224,32,16,16,2,center,10
goriya_blue_right,256,32,16,16,2,center,10
goriya_blue_left,288,32,16,16,2,center,10
boomerang,320,40,8,8,8,center,10
bubble_yellow,320,16,16,16,1,center,10
bubble_blue,336,16,16,16,1,center,10
bubble_white,352,16,16,16,1,center,10
bubble_green,368,16,16,16,1,center,10
wallmaster,384,16,16,16,2,center,10
stalfos,0,64,16,16,2,center,10
woodsword_up,32,64,8,16,1,center,10
whitesword_up,40,64,8,16,1,center,10
magicsword_up,48,64,8,16,1,center,10
bluesword_up,56,64,8,16,1,center,10
woodsword_right,64,68,16,8,1,center,10
whitesword_right,80,68,16,8,1,center,10
magicsword_right,96,68,16,8,1,center,10
bluesword_right,112,68,16,8,1,center,10
rope_right,128,64,16,16,2,center,10
rope_left,160,64,16,16,2,center,10
bladetrap,192,64,16,16,1,center,10
fireball,224,64,8,10,4,center,10
lanmola_red_0,272,64,8,16,1,center,10
lanmola_red_1,280,64,8,16,1,center,10
lanmola_blue_0,288,64,8,16,1,center,10
lanmola_blue_1,296,64,8,16,1,center,10
darknut_red_down,0,96,16,16,2,center,10
darknut_red_up,32,96,16,16,2,center,10
darknut_red_right,64,96,16,16,2,center,10
darknut_red_left,96,96,16,16,2,center,10
darknut_blue_down,0,112,16,16,2,center,10
darknut_blue_up,32,112,16,16,2,center,10
darknut_blue_right,64,112,16,16,2,center,10
darknut_blue_left,96,112,16,16,2,center,10
gibdo,128,96,16,16,2,center,10
wizzrobe_blue_right,160,96,16,16,2,center,10
wizzrobe_blue_left,192,96,16,16,2,center,10
wizzrobe_blue_up,224,96,16,16,2,center,10
wizzrobe_red_right,160,112,16,16,2,center,10
wizzrobe_red_left,192,112,16,16,2,center,10
wizzrobe_red_up,224,112,16,16,2,center,10
vire_down,256,96,16,16,2,center,10
vire_up,288,96,16,16,2,center,10
likelike,256,112,16,16,3,center,10
polsvoice_dark_green,320,96,16,16,2,center,10
polsvoice_dark_white,352,96,16,16,2,center,10
polsvoice_dark_red,384,96,16,16,2,center,10
polsvoice_light_green,320,112,16,16,2,center,10
polsvoice_light_white,352,112,16,16,2,center,10
polsvoice_light_red,384,112,16,16,2,center,10
death,240,192,16,16,4,center,10
cloud,240,208,16,16,3,center,10
aquamentus_left_mouthopen,0,144,32,32,2,center,10
aquamentus_left,64,144,32,32,2,center,10
aquamentus_right_mouthopen,128,144,32,32,2,center,10
aquamentus_right,192,144,32,32,2,center,10
dodongo_down,256,144,16,16,2,center,10
dodongo_down_hurt,288,144,16,16,1,center,10
dodongo_up,256,160,16,16,2,center,10
dodongo_up_hurt,288,160,16,16,1,center,10
dodongo_right,304,144,32,16,2,center,10
dodongo_right_hurt,368,144,32,16,1,center,10
dodongo_left,304,160,32,16,2,center,10
dodongo_left_hurt,368,160,32,16,1,center,10
oldman,336,192,16,16,1,center,10
xp_orb,224,64,8,10,1,top left,10
