Sprite,X,Y,W,H,Frames,Anchor,Fps
hud_background,256,11,256,56,1,top left,10
hud_map,272,80,64,24,1,top left,10
inventory_background,0,16,256,88,1,top left,10
triforce_background,0,120,256,88,1,top left,10
map_background,256,120,256,88,1,top left,10
map_room,528,112,8,8,1,top left,10
map_room_E,536,112,8,8,1,top left,10
map_room_W,544,112,8,8,1,top left,10
map_room_EW,552,112,8,8,1,top left,10
map_room_S,560,112,8,8,1,top left,10
map_room_ES,568,112,8,8,1,top left,10
map_room_SW,576,112,8,8,1,top left,10
map_room_ESW,584,112,8,8,1,top left,10
map_room_N,592,112,8,8,1,top left,10
map_room_NE,600,112,8,8,1,top left,10
map_room_NW,608,112,8,8,1,top left,10
map_room_NEW,616,112,8,8,1,top left,10
map_room_NS,624,112,8,8,1,top left,10
map_room_NES,632,112,8,8,1,top left,10
map_room_NSW,640,112,8,8,1,top left,10
map_room_NESW,648,112,8,8,1,top left,10
hud_map_room_top,656,112,8,8,1,top left,10
hud_map_room_bottom,664,112,8,8,1,top left,10
hud_map_room_double,672,112,8,8,1,top left,10
numbers_x,528,120,8,8,1,top left,10
numbers_0,536,120,8,8,1,top left,10
numbers_1,544,120,8,8,1,top left,10
numbers_2,552,120,8,8,1,top left,10
numbers_3,560,120,8,8,1,top left,10
numbers_4,568,120,8,8,1,top left,10
numbers_5,576,120,8,8,1,top left,10
numbers_6,584,120,8,8,1,top left,10
numbers_7,592,120,8,8,1,top left,10
numbers_8,600,120,8,8,1,top left,10
numbers_9,608,120,8,8,1,top left,10
numbers_a,616,120,8,8,1,top left,10
heart_empty,624,120,8,8,1,top left,10
heart_half,632,120,8,8,1,top left,10
heart_full,640,120,8,8,1,top left,10
map_marker_lime,528,128,8,4,1,top left,10
map_marker_white,536,128,8,4,1,top left,10
map_marker_red,544,128,8,4,1,top left,10
map_marker_blue,552,128,8,4,1,top left,10
map_marker_turquoise,560,128,8,4,1,top left,10
map_marker_navy,568,128,8,4,1,top left,10
map_marker_green,576,128,8,4,1,top left,10
map_marker_black,584,128,8,4,1,top left,10
map_marker_darkgreen,592,128,8,4,1,top left,10
map_marker_brown,600,128,8,4,1,top left,10
map_marker_red_blinking,528,132,8,4,2,top left,4
outline_red,528,144,16,16,1,top left,10
outline_blue,544,144,16,16,1,top left,10
woodensword,560,144,8,16,1,top left,10
whitesword,568,144,8,16,1,top left,10
sword,576,144,8,16,1,top left,10
boomerang,584,144,8,16,1,top left,10
boomerang_blue,592,144,8,16,1,top left,10
bomb,600,144,8,16,1,top left,10
arrow,608,144,8,16,1,top left,10
arrow_blue,616,144,8,16,1,top left,10
bow,624,144,8,16,1,top left,10
candle_blue,632,144,8,16,1,top left,10
candle,640,144,8,16,1,top left,10
ruler,648,144,8,16,1,top left,10
meat,656,144,8,16,1,top left,10
paper_blue,664,144,8,16,1,top left,10
potion_blue,672,144,8,16,1,top left,10
potion_red,680,144,8,16,1,top left,10
magicrod,688,144,8,16,1,top left,10
logs,528,160,16,16,1,top left,10
book,544,160,16,16,1,top left,10
ladder,560,160,16,16,1,top left,10
compass,576,160,16,16,1,top left,10
ring,592,160,8,16,1,top left,10
key,600,160,8,16,1,top left,10
croissant,608,160,8,16,1,top left,10
paper,616,160,8,16,1,top left,10
