Sprite,X,Y,W,H,Frames,Anchor,Fps
heart_full,0,0,8,8,1,top left,10
heart_half,8,0,8,8,1,top left,10
heart_empty,8,8,8,8,1,top left,10
heart_blue,0,8,8,8,1,top left,10
heartcontainer,16,0,16,16,1,top left,10
fairy,32,0,8,16,2,top left,10
clock,48,0,16,16,1,top left,10
rupee,64,0,8,16,1,top left,10
rupee_blue,64,16,8,16,1,top left,10
potion,72,0,8,16,1,top left,10
potion_blue,72,16,8,16,1,top left,10
map,80,0,8,16,1,top left,10
map_blue,80,16,8,16,1,top left,10
meat,88,0,8,16,1,top left,10
woodensword,96,0,8,16,1,top left,10
whitesword,96,16,8,16,1,top left,10
sword,104,0,8,16,1,top left,10
magicshield,104,16,8,16,1,top left,10
boomerang,112,0,8,8,1,top left,10
boomerang_blue,112,8,8,8,1,top left,10
bomb,120,0,8,16,1,top left,10
bow,128,0,8,16,1,top left,10
arrow,136,0,8,16,1,top left,10
arrow_blue,136,16,8,16,1,top left,10
candle,144,0,8,16,1,top left,10
candle_blue,144,16,8,16,1,top left,10
ring,152,0,8,16,1,top left,10
ring_blue,152,16,8,16,1,top left,10
croissant,160,0,8,16,1,top left,10
ruler,168,0,8,16,1,top left,10
logs,176,0,16,16,1,top left,10
ladder,192,0,16,16,1,top left,10
fire,176,16,16,16,2,top left,10
magicrod,208,0,8,16,1,top left,10
book,216,0,8,16,1,top left,10
key_0,224,0,8,16,1,top left,10
key_1,232,0,8,16,1,top left,10
compass,240,0,16,16,1,top left,10
triforce,256,0,16,16,2,top left,10
