Sprite,X,Y,W,H,Frames,Anchor,Fps
walk_down,0,16,16,16,2,center,10
walk_right,32,16,16,16,2,center,10
walk_up,64,16,16,16,2,center,10
walk_left,96,16,16,16,2,center,10
standing_down,0,16,16,16,1,center,10
standing_right,32,16,16,16,1,center,10
standing_up,64,16,16,16,1,center,10
standing_left,96,16,16,16,1,center,10
useitem_down,144,16,16,16,1,center,4
useitem_right,160,16,16,16,1,center,4
useitem_up,176,16,16,16,1,center,4
useitem_left,192,16,16,16,1,center,4
pickupitem_onehand,224,16,16,16,1,center,10
pickupitem_twohands,240,16,16,16,1,center,10
magicshield_down,288,16,16,16,2,center,10
magicshield_right,320,16,16,16,2,center,10
magicshield_up,64,16,16,16,2,center,10
magicshield_left,352,16,16,16,2,center,10
woodensword_down,0,48,16,32,4,top quarter,15
woodensword_right,64,48,32,16,4,left quarter,15
woodensword_up,192,48,16,32,4,bottom quarter,15
woodensword_left,64,64,32,16,4,right quarter,15
woodensword_magicshield_down,256,48,16,32,2,top quarter,10
woodensword_magicshield_right,288,48,32,16,2,left quarter,10
woodensword_magicshield_up,192,48,16,32,4,bottom quarter,10
woodensword_magicshield_left,288,64,32,16,2,right quarter,10
whitesword_down,0,96,16,32,4,top quarter,10
whitesword_right,64,96,32,16,4,left quarter,10
whitesword_up,192,96,16,32,4,bottom quarter,10
whitesword_left,64,112,32,16,4,right quarter,10
whitesword_magicshield_down,256,96,16,32,2,top quarter,10
whitesword_magicshield_right,288,96,32,16,2,left quarter,10
whitesword_magicshield_up,192,96,16,32,4,bottom quarter,10
whitesword_magicshield_left,288,112,32,16,2,right quarter,10
magicalsword_down,0,144,16,32,4,top quarter,10
magicalsword_right,64,144,32,16,4,left quarter,10
magicalsword_up,192,144,16,32,4,bottom quarter,10
magicalsword_left,64,160,32,16,4,right quarter,10
magicalsword_magicshield_down,256,144,16,32,2,top quarter,10
magicalsword_magicshield_right,288,144,32,16,2,left quarter,10
magicalsword_magicshield_up,192,144,16,32,4,bottom quarter,10
magicalsword_magicshield_left,288,160,32,16,2,right quarter,10
magicrod_down,0,192,16,32,4,top quarter,10
magicrod_right,64,192,32,16,4,left quarter,10
magicrod_up,192,192,16,32,4,bottom quarter,10
magicrod_left,64,208,32,16,4,right quarter,10
magicrod_magicshield_down,256,192,16,32,2,top quarter,10
magicrod_magicshield_right,288,192,32,16,2,left quarter,10
magicrod_magicshield_up,192,192,16,32,4,bottom quarter,10
magicrod_magicshield_left,288,208,32,16,2,right quarter,10
woodensword_item_up,0,224,8,16,1,center,10
woodensword_item_down,8,224,8,16,1,center,10
woodensword_item_right,16,224,16,8,1,center,10
woodensword_item_left,16,232,16,8,1,center,10
woodensword_effect_NW,32,224,8,10,1,center,10
woodensword_effect_NE,40,224,8,10,1,center,10
woodensword_effect_SW,32,234,8,10,1,center,10
woodensword_effect_SE,40,234,8,10,1,center,10
whitesword_item_up,48,224,8,16,1,center,10
whitesword_item_down,56,224,8,16,1,center,10
